"epoch: 1, PSNR: 19.2947212819303, SSIM: 0.7933826084887043, LPIPS: 0.19377983269396792, UCIQE: 0.41189631819725037, UIQM: 3.756714344024658, best PSNR: 19.2947212819303, best epoch: 1"
"epoch: 2, PSNR: 19.722896768805686, SSIM: 0.8154611138815291, LPIPS: 0.16503286838866352, UCIQE: 0.4095463454723358, UIQM: 3.789015531539917, best PSNR: 19.722896768805686, best epoch: 2"
"epoch: 3, PSNR: 20.25766335176618, SSIM: 0.8411874014340089, LPIPS: 0.15424655695979514, UCIQE: 0.4244351089000702, UIQM: 3.769218921661377, best PSNR: 20.25766335176618, best epoch: 3"
"epoch: 4, PSNR: 20.4413285737627, SSIM: 0.8480976746323403, LPIPS: 0.1458364532988393, UCIQE: 0.41063734889030457, UIQM: 3.7666397094726562, best PSNR: 20.4413285737627, best epoch: 4"
"epoch: 5, PSNR: 20.70614376496733, SSIM: 0.8611098929737391, LPIPS: 0.13605007479030096, UCIQE: 0.41858091950416565, UIQM: 3.7834315299987793, best PSNR: 20.70614376496733, best epoch: 5"
"epoch: 6, PSNR: 20.868256879656503, SSIM: 0.86799424953675, LPIPS: 0.13231359070606447, UCIQE: 0.4118731617927551, UIQM: 3.7740087509155273, best PSNR: 20.868256879656503, best epoch: 6"
"epoch: 7, PSNR: 21.05468335312404, SSIM: 0.8719383806325076, LPIPS: 0.13527935349874282, UCIQE: 0.4139496982097626, UIQM: 3.7839791774749756, best PSNR: 21.05468335312404, best epoch: 7"
"epoch: 8, PSNR: 21.05151665076781, SSIM: 0.8688733309842227, LPIPS: 0.13321905792429206, UCIQE: 0.41346752643585205, UIQM: 3.761256456375122, best PSNR: 21.05468335312404, best epoch: 7"
"epoch: 9, PSNR: 21.324823272362185, SSIM: 0.8761381399765443, LPIPS: 0.12694955654860882, UCIQE: 0.4232945442199707, UIQM: 3.7794125080108643, best PSNR: 21.324823272362185, best epoch: 9"
"epoch: 10, PSNR: 21.322183641155114, SSIM: 0.879926360055302, LPIPS: 0.13288089139073084, UCIQE: 0.43175816535949707, UIQM: 3.7704029083251953, best PSNR: 21.324823272362185, best epoch: 9"
"epoch: 11, PSNR: 21.124961831596462, SSIM: 0.8745737912949552, LPIPS: 0.13004354228464404, UCIQE: 0.40964603424072266, UIQM: 3.7712998390197754, best PSNR: 21.324823272362185, best epoch: 9"
"epoch: 12, PSNR: 21.549495011233212, SSIM: 0.884124316526263, LPIPS: 0.12546411035268495, UCIQE: 0.42809194326400757, UIQM: 3.763486862182617, best PSNR: 21.549495011233212, best epoch: 12"
"epoch: 13, PSNR: 21.752830483940212, SSIM: 0.8837295844313804, LPIPS: 0.12191266076785795, UCIQE: 0.43041542172431946, UIQM: 3.7718167304992676, best PSNR: 21.752830483940212, best epoch: 13"
"epoch: 14, PSNR: 21.66887648721759, SSIM: 0.8834640135925808, LPIPS: 0.12702197746865534, UCIQE: 0.4232840836048126, UIQM: 3.7532551288604736, best PSNR: 21.752830483940212, best epoch: 13"
"epoch: 15, PSNR: 21.718575541892747, SSIM: 0.8818958535623015, LPIPS: 0.12515470588558844, UCIQE: 0.41115090250968933, UIQM: 3.7523674964904785, best PSNR: 21.752830483940212, best epoch: 13"
"epoch: 16, PSNR: 22.08706509665157, SSIM: 0.8883086824685, LPIPS: 0.1174372210680099, UCIQE: 0.42420440912246704, UIQM: 3.7638700008392334, best PSNR: 22.08706509665157, best epoch: 16"
"epoch: 17, PSNR: 21.948790978849605, SSIM: 0.8894154255309802, LPIPS: 0.11614697704907884, UCIQE: 0.4266459047794342, UIQM: 3.7499217987060547, best PSNR: 22.08706509665157, best epoch: 16"
"epoch: 18, PSNR: 21.84939963094304, SSIM: 0.8852911665198508, LPIPS: 0.12282147363163112, UCIQE: 0.4234510660171509, UIQM: 3.7613492012023926, best PSNR: 22.08706509665157, best epoch: 16"
"epoch: 19, PSNR: 22.039671833595534, SSIM: 0.889757191197256, LPIPS: 0.11625463050905238, UCIQE: 0.42466527223587036, UIQM: 3.74580979347229, best PSNR: 22.08706509665157, best epoch: 16"
"epoch: 20, PSNR: 22.094790072923296, SSIM: 0.8858858949682685, LPIPS: 0.11702897952178891, UCIQE: 0.4187238812446594, UIQM: 3.756941556930542, best PSNR: 22.094790072923296, best epoch: 20"
"epoch: 21, PSNR: 21.663788881194726, SSIM: 0.8820809708552414, LPIPS: 0.12931484381636876, UCIQE: 0.41919371485710144, UIQM: 3.761537790298462, best PSNR: 22.094790072923296, best epoch: 20"
"epoch: 22, PSNR: 21.860172528899117, SSIM: 0.8826378001255936, LPIPS: 0.12238901997968722, UCIQE: 0.41193947196006775, UIQM: 3.7588932514190674, best PSNR: 22.094790072923296, best epoch: 20"
"epoch: 23, PSNR: 22.262642785404505, SSIM: 0.8936414551199152, LPIPS: 0.11348894853772742, UCIQE: 0.42740896344184875, UIQM: 3.7335569858551025, best PSNR: 22.262642785404505, best epoch: 23"
"epoch: 24, PSNR: 22.407848401016064, SSIM: 0.8917973510335001, LPIPS: 0.11352307309679101, UCIQE: 0.427644282579422, UIQM: 3.7580814361572266, best PSNR: 22.407848401016064, best epoch: 24"
"epoch: 25, PSNR: 22.086469575260463, SSIM: 0.8867869283376115, LPIPS: 0.11920943347674408, UCIQE: 0.42232000827789307, UIQM: 3.7750351428985596, best PSNR: 22.407848401016064, best epoch: 24"
"epoch: 26, PSNR: 22.213864647940305, SSIM: 0.8933849696362957, LPIPS: 0.11865987413133798, UCIQE: 0.4220288395881653, UIQM: 3.756052017211914, best PSNR: 22.407848401016064, best epoch: 24"
"epoch: 27, PSNR: 22.25309022624841, SSIM: 0.8890887940867563, LPIPS: 0.1195122091873978, UCIQE: 0.40755695104599, UIQM: 3.7419683933258057, best PSNR: 22.407848401016064, best epoch: 24"
"epoch: 28, PSNR: 22.405738455525945, SSIM: 0.8952684516317388, LPIPS: 0.1125254336786404, UCIQE: 0.4321471154689789, UIQM: 3.755415439605713, best PSNR: 22.407848401016064, best epoch: 24"
"epoch: 29, PSNR: 22.22435565477007, SSIM: 0.8910515515991811, LPIPS: 0.11605192545089829, UCIQE: 0.4142058193683624, UIQM: 3.7417736053466797, best PSNR: 22.407848401016064, best epoch: 24"
"epoch: 30, PSNR: 22.20457998554358, SSIM: 0.8880408915241113, LPIPS: 0.11502918596850352, UCIQE: 0.4107164144515991, UIQM: 3.75250244140625, best PSNR: 22.407848401016064, best epoch: 24"
"epoch: 31, PSNR: 22.54691115390049, SSIM: 0.8962674060564363, LPIPS: 0.11212331768167152, UCIQE: 0.4279994070529938, UIQM: 3.7256462574005127, best PSNR: 22.54691115390049, best epoch: 31"
"epoch: 32, PSNR: 22.46864682101132, SSIM: 0.8936621406105127, LPIPS: 0.11244094671074593, UCIQE: 0.42964741587638855, UIQM: 3.7331151962280273, best PSNR: 22.54691115390049, best epoch: 31"
"epoch: 33, PSNR: 22.45674886596337, SSIM: 0.8967079808203022, LPIPS: 0.10980389782049682, UCIQE: 0.4230007827281952, UIQM: 3.735320806503296, best PSNR: 22.54691115390049, best epoch: 31"
"epoch: 34, PSNR: 22.51646566926763, SSIM: 0.8954043703132801, LPIPS: 0.1097195241809561, UCIQE: 0.43048086762428284, UIQM: 3.758147954940796, best PSNR: 22.54691115390049, best epoch: 31"
"epoch: 35, PSNR: 22.506692071978964, SSIM: 0.896967058771112, LPIPS: 0.11105357767658287, UCIQE: 0.43534788489341736, UIQM: 3.7226641178131104, best PSNR: 22.54691115390049, best epoch: 31"
"epoch: 36, PSNR: 22.472302533267587, SSIM: 0.8939365235607276, LPIPS: 0.11263336963281873, UCIQE: 0.4278077483177185, UIQM: 3.74934983253479, best PSNR: 22.54691115390049, best epoch: 31"
