"epoch: 1, PSNR: 19.06149314494615, SSIM: 0.7745599097080444, LPIPS: 0.1983251856284195, UCIQE: 0.41238096356391907, UIQM: 3.757371664047241, best PSNR: 19.06149314494615, best epoch: 1"
"epoch: 2, PSNR: 19.646009713076474, SSIM: 0.7962995593467456, LPIPS: 0.16799330041649635, UCIQE: 0.4114469885826111, UIQM: 3.787687301635742, best PSNR: 19.646009713076474, best epoch: 2"
"epoch: 3, PSNR: 20.10048538379455, SSIM: 0.816407707300079, LPIPS: 0.1612975550082962, UCIQE: 0.41526761651039124, UIQM: 3.7643868923187256, best PSNR: 20.10048538379455, best epoch: 3"
"epoch: 4, PSNR: 20.35610378994031, SSIM: 0.8317635642008835, LPIPS: 0.14840724712677217, UCIQE: 0.42190900444984436, UIQM: 3.768897533416748, best PSNR: 20.35610378994031, best epoch: 4"
"epoch: 5, PSNR: 20.523245768600635, SSIM: 0.8420927169617642, LPIPS: 0.14187499935205064, UCIQE: 0.41959449648857117, UIQM: 3.785987138748169, best PSNR: 20.523245768600635, best epoch: 5"
"epoch: 6, PSNR: 20.76275116138244, SSIM: 0.8511901390686464, LPIPS: 0.13437890031197097, UCIQE: 0.4204142689704895, UIQM: 3.7720391750335693, best PSNR: 20.76275116138244, best epoch: 6"
"epoch: 7, PSNR: 20.83934310313021, SSIM: 0.8542454081974672, LPIPS: 0.13721463691150204, UCIQE: 0.4167100787162781, UIQM: 3.7916970252990723, best PSNR: 20.83934310313021, best epoch: 7"
"epoch: 8, PSNR: 20.91143000527714, SSIM: 0.8551324250992764, LPIPS: 0.1336052470913764, UCIQE: 0.42182546854019165, UIQM: 3.7813947200775146, best PSNR: 20.91143000527714, best epoch: 8"
"epoch: 9, PSNR: 21.070805313881863, SSIM: 0.8615898034545812, LPIPS: 0.12966562514559607, UCIQE: 0.42192450165748596, UIQM: 3.7708988189697266, best PSNR: 21.070805313881863, best epoch: 9"
"epoch: 10, PSNR: 21.07527995377444, SSIM: 0.8667480791552683, LPIPS: 0.13105050491148165, UCIQE: 0.43405914306640625, UIQM: 3.7806332111358643, best PSNR: 21.07527995377444, best epoch: 10"
"epoch: 11, PSNR: 20.989279693432067, SSIM: 0.8637469343924791, LPIPS: 0.13118358873082012, UCIQE: 0.4183659851551056, UIQM: 3.7695460319519043, best PSNR: 21.07527995377444, best epoch: 10"
"epoch: 12, PSNR: 21.358664994829155, SSIM: 0.8724141362008084, LPIPS: 0.12182434708968307, UCIQE: 0.4265071153640747, UIQM: 3.7731997966766357, best PSNR: 21.358664994829155, best epoch: 12"
"epoch: 13, PSNR: 20.996435669031037, SSIM: 0.8648217916488647, LPIPS: 0.131219564863805, UCIQE: 0.41918492317199707, UIQM: 3.7729239463806152, best PSNR: 21.358664994829155, best epoch: 12"
"epoch: 14, PSNR: 21.350098224168413, SSIM: 0.8729933118552304, LPIPS: 0.12534909247514908, UCIQE: 0.4251144528388977, UIQM: 3.760270357131958, best PSNR: 21.358664994829155, best epoch: 12"
"epoch: 15, PSNR: 21.426730509554403, SSIM: 0.8736445059937038, LPIPS: 0.12389430401616552, UCIQE: 0.4181700050830841, UIQM: 3.755187749862671, best PSNR: 21.426730509554403, best epoch: 15"
"epoch: 16, PSNR: 21.472646788264928, SSIM: 0.873610739627581, LPIPS: 0.12506240463993523, UCIQE: 0.42311280965805054, UIQM: 3.750009536743164, best PSNR: 21.472646788264928, best epoch: 16"
"epoch: 17, PSNR: 21.438935601309446, SSIM: 0.8753213487314374, LPIPS: 0.1205229867626442, UCIQE: 0.4204341769218445, UIQM: 3.7486257553100586, best PSNR: 21.472646788264928, best epoch: 16"
"epoch: 18, PSNR: 21.573394882545042, SSIM: 0.8780391872598884, LPIPS: 0.12409298278893648, UCIQE: 0.4215810298919678, UIQM: 3.766387701034546, best PSNR: 21.573394882545042, best epoch: 18"
"epoch: 19, PSNR: 21.87683660528633, SSIM: 0.8840648839982708, LPIPS: 0.11510268494151951, UCIQE: 0.43288880586624146, UIQM: 3.7459781169891357, best PSNR: 21.87683660528633, best epoch: 19"
"epoch: 20, PSNR: 21.77013598667102, SSIM: 0.880056021588572, LPIPS: 0.11615153366511458, UCIQE: 0.4269579350948334, UIQM: 3.751711368560791, best PSNR: 21.87683660528633, best epoch: 19"
"epoch: 21, PSNR: 21.54975566435396, SSIM: 0.8762621765726069, LPIPS: 0.12698582668652694, UCIQE: 0.42027005553245544, UIQM: 3.7620933055877686, best PSNR: 21.87683660528633, best epoch: 19"
"epoch: 22, PSNR: 21.941916862230624, SSIM: 0.8807287832324424, LPIPS: 0.11785448302797387, UCIQE: 0.41892170906066895, UIQM: 3.759791612625122, best PSNR: 21.941916862230624, best epoch: 22"
"epoch: 23, PSNR: 21.798154027274485, SSIM: 0.8854995289545381, LPIPS: 0.11564796547708886, UCIQE: 0.4367387294769287, UIQM: 3.7382938861846924, best PSNR: 21.941916862230624, best epoch: 22"
"epoch: 24, PSNR: 22.122563394267907, SSIM: 0.8851153863949722, LPIPS: 0.11386030897749273, UCIQE: 0.42402005195617676, UIQM: 3.7523059844970703, best PSNR: 22.122563394267907, best epoch: 24"
"epoch: 25, PSNR: 21.907758594898695, SSIM: 0.8838518181543672, LPIPS: 0.11592829428362043, UCIQE: 0.4240357577800751, UIQM: 3.7639682292938232, best PSNR: 22.122563394267907, best epoch: 24"
"epoch: 26, PSNR: 21.73592503151197, SSIM: 0.8829274344980047, LPIPS: 0.11959747781746843, UCIQE: 0.4172497093677521, UIQM: 3.762321949005127, best PSNR: 22.122563394267907, best epoch: 24"
"epoch: 27, PSNR: 22.19305894615945, SSIM: 0.8886089345042625, LPIPS: 0.11387114764683032, UCIQE: 0.4295302927494049, UIQM: 3.7377281188964844, best PSNR: 22.19305894615945, best epoch: 27"
"epoch: 28, PSNR: 22.111335357923185, SSIM: 0.8871323131443409, LPIPS: 0.11514162435457947, UCIQE: 0.4331701099872589, UIQM: 3.7716894149780273, best PSNR: 22.19305894615945, best epoch: 27"
"epoch: 29, PSNR: 22.114833756779017, SSIM: 0.8859548682577154, LPIPS: 0.11608897505348988, UCIQE: 0.4179428517818451, UIQM: 3.7412772178649902, best PSNR: 22.19305894615945, best epoch: 27"
